[PC Hunter Standard][[League of Legends.exe]╫ЬЁлоъЁл(90)]: 90
оъЁлId		ETHREAD		Teb		сеох╪╤		оъЁлхК©з		дё©И		гп╩╩╢нйЩ		оъЁлв╢л╛
3564		0xFFFFFA801C8AC7F0		0x0000000000000000		10		0x000000007734DFBB		ntdll.dll		22639		жуж╧
3784		0xFFFFFA8019AAAB50		0x0000000000000000		10		0x000000007734DFBB		ntdll.dll		1406		жуж╧
5104		0xFFFFFA801C83F530		0x0000000000000000		10		0x000000007734DFBB		ntdll.dll		11365		жуж╧
5312		0xFFFFFA80198A6B50		0x0000000000000000		10		0x000000007734DFBB		ntdll.dll		1498		жуж╧
5480		0xFFFFFA8019CB46B0		0x0000000000000000		10		0x000000007734DFBB		ntdll.dll		133		жуж╧
5816		0xFFFFFA801C7A4330		0x0000000000000000		10		0x000000007737046C		ntdll.dll		71		жуж╧
6468		0xFFFFFA8019807B50		0x0000000000000000		10		0x000000007734233B		ntdll.dll		2107		жуж╧
7148		0xFFFFFA801C7E6660		0x0000000000000000		10		0x000000007734DFBB		ntdll.dll		9		жуж╧
6576		0xFFFFFA801D835B50		0x0000000000000000		11		0x0000000069B527E1		MMDevApi.dll		38		жуж╧
3132		0xFFFFFA801C908060		0x0000000000000000		9		0x0000000050C1B680		LOLBase.dll		32		жуж╧
3380		0xFFFFFA801C93F690		0x0000000000000000		10		0x0000000050B6272C		LOLBase.dll		5		жуж╧
5256		0xFFFFFA801AA64B50		0x0000000000000000		10		0x0000000050B59B33		LOLBase.dll		13		жуж╧
5428		0xFFFFFA8019694640		0x0000000000000000		10		0x0000000050B59B33		LOLBase.dll		16		жуж╧
5652		0xFFFFFA801D0B58F0		0x0000000000000000		10		0x0000000050CA0D10		LOLBase.dll		129		жуж╧
6532		0xFFFFFA801990E060		0x0000000000000000		10		0x0000000050B6272C		LOLBase.dll		6		жуж╧
1032		0xFFFFFA8019AB5260		0x0000000000000000		10		0x00000000012DB938		League of Legends.exe		4		жуж╧
1104		0xFFFFFA801D564720		0x0000000000000000		11		0x000000000126FC50		League of Legends.exe		486		жуж╧
1928		0xFFFFFA801CCB4B50		0x0000000000000000		10		0x00000000012DB938		League of Legends.exe		4		жуж╧
2696		0xFFFFFA801AAA2560		0x0000000000000000		10		0x00000000012DB938		League of Legends.exe		6		жуж╧
2768		0xFFFFFA8019A5C770		0x00000000FFF4C000		12		0x00000000012DB938		League of Legends.exe		33640		╣х╢Щ
2924		0xFFFFFA801AAE6A00		0x0000000000000000		10		0x00000000012DB938		League of Legends.exe		361		жуж╧
3588		0xFFFFFA8019856060		0x0000000000000000		10		0x00000000012DB938		League of Legends.exe		193		жуж╧
3944		0xFFFFFA801AAF3B50		0x0000000000000000		10		0x00000000012DB938		League of Legends.exe		168		жуж╧
4124		0xFFFFFA8019AB5770		0x0000000000000000		10		0x00000000012DB938		League of Legends.exe		4		жуж╧
4264		0xFFFFFA801D238580		0x00000000FFED1000		11		0x00000000012DB938		League of Legends.exe		40375		╣х╢Щ
4440		0xFFFFFA801CF81840		0x00000000FFFDB000		9		0x000000000381F565		League of Legends.exe		222602		╣х╢Щ
4816		0xFFFFFA801C799560		0x0000000000000000		10		0x00000000012DB938		League of Legends.exe		6130		жуж╧
5116		0xFFFFFA801C7B5B50		0x0000000000000000		10		0x00000000012DB938		League of Legends.exe		164		жуж╧
6444		0xFFFFFA801C821650		0x0000000000000000		9		0x0000000000AB9C80		League of Legends.exe		203		жуж╧
6504		0xFFFFFA8019A62B50		0x0000000000000000		10		0x00000000012DB938		League of Legends.exe		4		жуж╧
6508		0xFFFFFA8019506310		0x0000000000000000		10		0x00000000012DB938		League of Legends.exe		4		жуж╧
6552		0xFFFFFA801C7E8B50		0x0000000000000000		10		0x00000000012DB938		League of Legends.exe		4		жуж╧
6572		0xFFFFFA801D564210		0x0000000000000000		10		0x0000000001225240		League of Legends.exe		281		жуж╧
7000		0xFFFFFA8019CAF2E0		0x0000000000000000		10		0x00000000012DB938		League of Legends.exe		4		жуж╧
7108		0xFFFFFA801C80FB50		0x0000000000000000		11		0x0000000001230E70		League of Legends.exe		28		жуж╧
7144		0xFFFFFA801D568060		0x0000000000000000		11		0x0000000001211B20		League of Legends.exe		30750		жуж╧
6564		0xFFFFFA80193F4830		0x00000000FFF34000		12		0x000000006DA291F0		dinput8.dll		10263		╣х╢Щ
